customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
SYN-00021,Male,0,Yes,Yes,53,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),65.51,3465.72,Yes
SYN-00022,Female,0,Yes,No,17,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,78.24,1311.15,No
SYN-00023,Female,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),19.42,690.64,No
SYN-00024,Male,1,Yes,No,23,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,35.9,825.68,No
SYN-00025,Female,0,No,No,1,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,102.81,105.28,Yes
SYN-00026,Female,0,Yes,No,25,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,61.08,1498.65,No
SYN-00027,Female,1,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.34,787.87,No
SYN-00028,Female,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,87.65,1376.39,Yes
SYN-00029,Male,0,Yes,No,44,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),77.55,3406.92,Yes
SYN-00030,Female,0,Yes,No,37,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),79.08,2929.48,No
SYN-00031,Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,33.38,429.13,Yes
SYN-00032,Male,0,No,No,27,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),86.34,2354.25,No
SYN-00033,Female,1,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,22.71,649.97,No
SYN-00034,Male,1,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.28,59.49,Yes
SYN-00035,Male,1,No,Yes,16,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),102.18,1618.97,Yes
SYN-00036,Male,0,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),33.61,73.23,Yes
SYN-00037,Female,1,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,29.31,369.72,Yes
SYN-00038,Male,1,No,No,54,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),29.65,1565.18,No
SYN-00039,Male,0,No,Yes,49,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),40.95,2043.28,Yes
SYN-00040,Female,1,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,46.83,3112.66,Yes
SYN-00041,Female,1,No,Yes,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.33,960.51,No
SYN-00042,Male,1,Yes,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,43.26,124.7,Yes
SYN-00043,Female,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,24.29,404.84,Yes
SYN-00044,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,31.08,2128.4,No
SYN-00045,Male,1,Yes,No,62,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,48.8,2983.1,Yes
SYN-00046,Male,0,Yes,No,51,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Two year,No,Mailed check,75.76,3911.2,No
SYN-00047,Male,1,Yes,Yes,55,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),74.23,4056.42,Yes
SYN-00048,Male,1,Yes,Yes,16,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),70.8,1096.05,No
SYN-00049,Female,0,No,Yes,52,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.5,1229.34,Yes
SYN-00050,Female,0,Yes,Yes,34,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.63,3604.66,No
SYN-00051,Female,1,No,No,64,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),43.38,2729.58,Yes
SYN-00052,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),26.71,173.34,No
SYN-00053,Male,0,No,Yes,27,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),87.58,2334.48,No
SYN-00054,Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Two year,No,Credit card (automatic),48.3,798.42,No
SYN-00055,Female,1,No,No,25,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,90.24,2257.3,No
SYN-00056,Male,1,Yes,No,71,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),82.04,5842.83,No
SYN-00057,Female,1,Yes,Yes,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),50.52,107.57,Yes
SYN-00058,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,113.33,2943.58,No
SYN-00059,Female,1,No,No,58,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,100.46,5861.31,Yes
SYN-00060,Male,0,Yes,Yes,19,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.75,1818.86,Yes
SYN-00061,Male,1,No,No,71,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),106.17,7577.45,Yes
SYN-00062,Female,0,Yes,Yes,22,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),97.4,2144.67,No
SYN-00063,Male,0,Yes,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,22.3,859.35,Yes
SYN-00064,Male,0,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.25,4315.21,Yes
SYN-00065,Female,1,Yes,Yes,36,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),40.9,1438.32,Yes
SYN-00066,Male,1,Yes,No,55,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.38,1747.35,No
SYN-00067,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.06,1268.92,No
SYN-00068,Female,1,No,Yes,64,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),75.08,4834.39,No
SYN-00069,Female,1,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.13,193.76,No
SYN-00070,Male,1,No,Yes,37,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Electronic check,62.76,2281.48,No
SYN-00071,Male,0,Yes,No,1,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),34.7,23.55,No
SYN-00072,Male,1,Yes,No,23,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.68,1675.88,Yes
SYN-00073,Male,1,Yes,Yes,64,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,37.4,2398.91,Yes
SYN-00074,Male,1,Yes,No,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.43,1517.55,No
SYN-00075,Female,0,No,No,55,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),89.24,4955.78,No
SYN-00076,Female,1,Yes,Yes,49,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,48.21,2371.31,No
SYN-00077,Male,0,Yes,No,41,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),38.35,1554.5,No
SYN-00078,Male,1,Yes,No,12,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),83.16,1045.69,No
SYN-00079,Male,0,Yes,No,44,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,42.89,1847.79,No
SYN-00080,Female,1,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),32.67,2243.15,No
SYN-00081,Female,0,No,No,58,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,70.5,4126.52,No
SYN-00082,Female,0,Yes,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,22.97,1393.92,Yes
SYN-00083,Female,0,Yes,No,58,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,55.95,3291.64,No
SYN-00084,Female,0,No,No,4,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Mailed check,69.56,243.18,No
SYN-00085,Female,0,No,Yes,13,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),109.83,1439.73,Yes
SYN-00086,Female,1,Yes,Yes,3,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,114.21,370.94,Yes
SYN-00087,Female,1,Yes,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,31.82,752.22,No
SYN-00088,Female,0,Yes,Yes,24,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,37.57,882.23,Yes
SYN-00089,Male,1,No,Yes,33,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),100.97,3337.85,No
SYN-00090,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),74.59,851.4,Yes
SYN-00091,Female,1,No,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.53,659.99,Yes
SYN-00092,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,95.24,6855.56,Yes
SYN-00093,Male,0,No,Yes,63,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.29,1920.27,No
SYN-00094,Female,1,No,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,23.14,298.4,Yes
SYN-00095,Male,0,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,30.52,1938.28,No
SYN-00096,Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.63,1030.93,Yes
SYN-00097,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,31.88,1512.03,Yes
SYN-00098,Male,1,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),25.58,82.52,Yes
SYN-00099,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,41.87,1062.81,Yes
SYN-00100,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.97,1171.05,Yes
SYN-00101,Male,0,No,No,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),27.17,699.19,No
SYN-00102,Female,0,Yes,No,45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),87.69,3985.89,No
SYN-00103,Male,1,No,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,29.84,1688.94,No
SYN-00104,Male,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,41.62,1029.61,No
SYN-00105,Female,1,Yes,No,44,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),30.3,1344.76,No
SYN-00106,Female,0,Yes,No,61,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,109.5,6700.76,Yes
SYN-00107,Male,1,No,Yes,54,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),49.35,2639.32,Yes
SYN-00108,Male,1,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),24.55,214.57,Yes
SYN-00109,Male,0,No,No,58,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),25.49,1501.29,Yes
SYN-00110,Male,1,No,Yes,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),77.01,3751.25,No
SYN-00111,Male,0,No,Yes,27,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.37,622.61,No
SYN-00112,Female,0,No,Yes,38,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.71,4041.64,Yes
SYN-00113,Male,1,Yes,No,35,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),72.24,2525.14,Yes
SYN-00114,Female,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,111.48,1340.38,Yes
SYN-00115,Female,1,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),71.05,1742.76,No
SYN-00116,Female,0,No,No,69,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,20.83,1392.98,No
SYN-00117,Female,1,No,Yes,21,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,100.09,2116.05,Yes
SYN-00118,Male,1,No,Yes,23,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,86.75,2000.89,No
SYN-00119,Female,0,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Electronic check,108.5,2520.5,No
SYN-00120,Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.22,841.41,No
SYN-00121,Female,0,No,Yes,50,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),36.76,1822.71,No
SYN-00122,Female,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.21,735.79,Yes
SYN-00123,Female,1,Yes,Yes,11,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),45.32,525.88,Yes
SYN-00124,Female,0,No,Yes,70,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),110.0,7672.92,No
SYN-00125,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,28.18,802.62,No
SYN-00126,Male,1,Yes,No,58,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,36.65,2116.4,No
SYN-00127,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.4,1306.07,Yes
SYN-00128,Female,1,No,Yes,30,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,54.58,1684.53,Yes
SYN-00129,Male,0,Yes,Yes,66,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,104.02,6841.23,No
SYN-00130,Male,1,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),82.72,2777.1,No
SYN-00131,Male,0,Yes,No,65,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.25,3085.53,No
SYN-00132,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),36.24,1872.69,No
SYN-00133,Female,1,No,Yes,61,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.48,4836.54,Yes
SYN-00134,Female,0,No,Yes,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,72.94,1803.86,Yes
SYN-00135,Male,1,No,No,35,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),97.99,3398.91,No
SYN-00136,Male,1,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Credit card (automatic),67.04,4490.31,No
SYN-00137,Female,1,No,No,52,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),38.28,2030.07,No
SYN-00138,Male,1,Yes,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.13,1338.3,No
SYN-00139,Female,1,No,Yes,68,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,103.25,7023.84,Yes
SYN-00140,Male,1,No,No,12,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,21.73,216.37,No
SYN-00141,Male,1,No,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,65.13,202.39,Yes
SYN-00142,Female,0,Yes,Yes,62,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),47.13,2920.43,No
SYN-00143,Male,0,No,No,5,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),33.46,153.65,No
SYN-00144,Female,1,Yes,No,58,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),100.35,5859.53,No
SYN-00145,Female,1,Yes,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.03,984.38,No
SYN-00146,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,26.19,1141.24,Yes
SYN-00147,Female,1,No,Yes,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.7,426.18,No
SYN-00148,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.9,91.07,Yes
SYN-00149,Female,0,Yes,No,32,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,32.86,1017.27,Yes
SYN-00150,Male,1,No,No,51,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Two year,No,Mailed check,48.87,2537.19,No
SYN-00151,Male,1,Yes,No,26,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,46.81,1253.92,No
SYN-00152,Male,0,Yes,No,50,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,56.28,2831.78,No
SYN-00153,Male,1,Yes,Yes,9,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer (automatic),86.84,737.31,Yes
SYN-00154,Female,1,Yes,No,48,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),39.74,1942.89,No
SYN-00155,Female,1,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.85,1544.48,No
SYN-00156,Female,1,No,Yes,31,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,34.44,1055.81,Yes
SYN-00157,Male,0,Yes,Yes,28,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Mailed check,22.82,660.4,No
SYN-00158,Female,1,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),19.74,558.43,No
SYN-00159,Female,1,Yes,No,57,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,99.9,5676.0,Yes
SYN-00160,Male,1,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),107.35,4608.01,Yes
SYN-00161,Female,1,Yes,No,70,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,108.21,7577.32,Yes
SYN-00162,Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),59.24,1536.31,Yes
SYN-00163,Male,1,Yes,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.94,1233.96,No
SYN-00164,Male,0,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.34,814.36,No
SYN-00165,Female,1,Yes,Yes,55,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),42.23,2335.85,Yes
SYN-00166,Female,1,Yes,Yes,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),51.06,2699.29,Yes
SYN-00167,Female,0,Yes,Yes,11,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,50.72,515.67,Yes
